time,action,power_mw,charge_mw,discharge_mw,soc_mwh,price_q10,price_q50,price_q90,spread,confidence
2026-04-30 05:15:00+03:00,idle,0.0,0.0,0.0,25.329207,76.89946971898638,92.35546107577518,148.12670073596556,71.22723101697918,high
2026-04-30 05:30:00+03:00,idle,0.0,0.0,0.0,25.329207,82.93833845447115,95.69144334919918,160.40963845511072,77.47130000063957,high
2026-04-30 05:45:00+03:00,idle,0.0,0.0,0.0,25.329207,83.97914401280029,98.42054324812224,161.6644238878208,77.6852798750205,high
2026-04-30 06:00:00+03:00,discharge,27.250986,0.0,27.250986,18.157895,77.32331142538312,100.30434350013861,177.57708906949063,100.2537776441075,high
2026-04-30 06:15:00+03:00,discharge,50.0,0.0,50.0,5.0,86.50618820250828,104.04718200464345,179.64445230168852,93.13826409918023,high
2026-04-30 06:30:00+03:00,idle,0.0,0.0,0.0,5.0,85.82321792703534,97.52598014600359,168.26692002218124,82.4437020951459,high
2026-04-30 06:45:00+03:00,idle,0.0,0.0,0.0,5.0,85.98252853670238,94.7499483078758,163.6161058693423,77.63357733263993,high
2026-04-30 07:00:00+03:00,idle,0.0,0.0,0.0,5.0,87.54165304355065,99.04901827620726,167.52533639735728,79.98368335380663,high
2026-04-30 07:15:00+03:00,idle,0.0,0.0,0.0,5.0,75.94383901878156,93.60800415894099,155.40199209184593,79.45815307306437,high
2026-04-30 07:30:00+03:00,idle,0.0,0.0,0.0,5.0,46.3860742571136,87.11615227463949,143.31564228817535,96.92956803106176,high
2026-04-30 07:45:00+03:00,idle,0.0,0.0,0.0,5.0,20.976457071260228,73.57249716777196,105.92973447211322,84.953277400853,high
2026-04-30 08:00:00+03:00,idle,0.0,0.0,0.0,5.0,73.38006802624264,93.33053296101293,126.22006037696654,52.839992350723904,high
2026-04-30 08:15:00+03:00,idle,0.0,0.0,0.0,5.0,61.75838075825324,89.87175481262025,120.33351506335771,58.57513430510447,high
2026-04-30 08:30:00+03:00,idle,0.0,0.0,0.0,5.0,12.295923558285384,50.615381309799226,84.49734965132443,72.20142609303905,high
2026-04-30 08:45:00+03:00,idle,0.0,0.0,0.0,5.0,1.6864326628107917,34.19354067093864,66.5656177807684,64.87918511795762,high
2026-04-30 09:00:00+03:00,idle,0.0,0.0,0.0,5.0,11.84127220607426,46.27463297500174,81.22296651660217,69.3816943105279,high
2026-04-30 09:15:00+03:00,idle,0.0,0.0,0.0,5.0,0.5862790036759672,24.47082994139686,60.37257283783195,59.786293834155984,high
2026-04-30 09:30:00+03:00,idle,0.0,0.0,0.0,5.0,1.1701726743697465,26.16289958274261,60.097855235911084,58.92768256154134,high
2026-04-30 09:45:00+03:00,idle,0.0,0.0,0.0,5.0,1.27445748396306,30.79220391571282,58.35862238774037,57.08416490377731,high
2026-04-30 10:00:00+03:00,idle,0.0,0.0,0.0,5.0,1.192198905440948,16.545901802443677,55.71787150256786,54.52567259712691,high
2026-04-30 10:15:00+03:00,idle,0.0,0.0,0.0,5.0,-0.9603531372764226,12.785094366720042,48.20248566251783,49.16283879979425,high
2026-04-30 10:30:00+03:00,idle,0.0,0.0,0.0,5.0,-2.4693452158071443,12.85537260513393,39.51851962331296,41.98786483912011,high
2026-04-30 10:45:00+03:00,idle,0.0,0.0,0.0,5.0,-2.4693452158071443,12.85537260513393,39.51851962331296,41.98786483912011,high
2026-04-30 11:00:00+03:00,charge,-50.0,50.0,0.0,16.875,-2.5123204825877625,12.11371704919803,32.66764778348982,35.17996826607758,high
2026-04-30 11:15:00+03:00,charge,-50.0,50.0,0.0,28.75,-2.444315360603844,12.11371704919803,32.66764778348982,35.111963144093664,high
2026-04-30 11:30:00+03:00,charge,-50.0,50.0,0.0,40.625,-2.3833225093031656,12.17286284940785,32.66764778348982,35.05097029279298,high
